"RefDes"."Name"."Pattern"."Center X (mm)"."Center Y (mm)"."Side"."Rotation"."Value"."Origin X (mm)"."Origin Y (mm)"."Part Number (LCSC)"."Part Number (Digi-Key)"."Part Number (Mouser)"."MP"."Package"
"C166"."CAP_0402"."CAP_0402_MURATA"."51.2"."28.3"."Bottom"."0.01"."4.7uF 6.3V 0402 10%"."51.2"."28.3".""."".""."".""
"C167"."CAP_0402"."CAP_0402_MURATA"."54.3"."28.8"."Bottom"."270.0"."100nF 6.3V 0402"."54.3"."28.8".""."".""."".""
"C168"."CAP_0402"."CAP_0402_MURATA"."65.2"."30"."Bottom"."270.0"."4.7uF 6.3V 0402 10%"."65.2"."30".""."".""."".""
"C169"."CAP_0402"."CAP_0402_MURATA"."61.3"."29.8"."Bottom"."315.0"."100nF 6.3V 0402"."61.3"."29.8".""."".""."".""
"C170"."CAP_0402"."CAP_0402_MURATA"."47.25"."53.15"."Top"."180.0"."100nF 6.3V 0402"."47.25"."53.15".""."".""."".""
"C172"."CAP_0402"."CAP_0402_MURATA"."58.475"."47.575"."Bottom"."90.0"."100nF 6.3V 0402"."58.475"."47.575".""."".""."".""
"C173"."CAP_0402"."CAP_0402_MURATA"."55.875"."47.575"."Bottom"."90.0"."100nF 6.3V 0402"."55.875"."47.575".""."".""."".""
"C174"."CAP_0402"."CAP_0402_MURATA"."59.975"."47.725"."Bottom"."180.0"."100nF 6.3V 0402"."59.975"."47.725".""."".""."".""
"C175"."CAP_0402"."CAP_0402_MURATA"."55.05"."50.975"."Bottom"."0.0"."100nF 6.3V 0402"."55.05"."50.975".""."".""."".""
"C176"."CAP_0402"."CAP_0402_MURATA"."55.725"."52.925"."Bottom"."0.0"."100nF 6.3V 0402"."55.725"."52.925".""."".""."".""
"D1"."LED 0603 GREEN"."LED_0603_WURTH"."55.9"."10.75"."Top"."180.0"."CDONE"."55.9"."10.75".""."".""."".""
"D2"."LED 0603 GREEN"."LED_0603_WURTH"."59"."10.75"."Top"."0.0"."CDONE"."59"."10.75".""."".""."".""
"D8"."BAV21W"."SOD365X155X145L30X57N"."42.8"."31.525"."Bottom"."270.01".""."42.8"."31.525"."C113947"."".""."".""
"D10"."LED 0603 BLUE"."LED_0603_WURTH"."19.85"."12.9"."Top"."90.0"."3V3_ESP32"."19.85"."12.9".""."".""."".""
"D18"."LED 0603 ORANGE"."LED_0603_WURTH"."82.45"."26"."Top"."90.0"."ESP_ACT"."82.45"."26".""."".""."".""
"D19"."LED 0603 RED"."LED_0603_WURTH"."32.5"."32.45"."Top"."270.0"."MCU_ACT"."32.5"."32.45".""."".""."".""
"D20"."LED 0603 YELLOW"."LED_0603_WURTH"."32.5"."26"."Top"."90.0"."FPGA_ACT"."32.5"."26".""."".""."".""
"D21"."LED 0603 GREEN"."LED_0603_WURTH"."82.45"."32.45"."Top"."270.0"."CDONE"."82.45"."32.45".""."".""."".""
"D23"."LED 0603 BLUE"."LED_0603_WURTH"."19.8"."16.7"."Top"."90.0"."3V3"."19.8"."16.7".""."".""."".""
"J1"."10164228-1001A1RLF"."AMPHENOL_10164228-1001A1RLF"."17.5"."48.5"."Bottom"."270.0".""."17.5"."48.5".""."".""."".""
"J2"."10164228-1001A1RLF"."AMPHENOL_10164228-1001A1RLF"."97.5"."48.5"."Bottom"."270.0".""."97.5"."48.5".""."".""."".""
"J3"."10164228-1001A1RLF"."AMPHENOL_10164228-1001A1RLF"."32.5"."14.5"."Bottom"."0.0".""."32.5"."14.5".""."".""."".""
"J4"."10164228-1001A1RLF"."AMPHENOL_10164228-1001A1RLF"."82.5"."14.5"."Bottom"."0.0".""."82.5"."14.5".""."".""."".""
"J5"."PPTC041LFBN-RC"."RHDRV4W80P254_4X1_1066X250H875_AP1"."20.6"."26"."Top"."90.0"."SWD"."20.6"."22.19".""."S7002-ND".""."".""
"J6"."TYPE-C 16PLT-H10.0"."TYPE-C 16PLT-H10.0"."50.75"."13.5"."Top"."180.0"."MicroUSB"."50.75"."13.5".""."".""."".""
"J7"."LPPB112NFSS-RC"."YXCON_F343-1211A0CMUB1"."57.5"."19.3"."Top"."180.0"."LA2_IO"."57.5"."19.3".""."S9006E-11-ND".""."".""
"J8"."TYPE-C 16PLT-H10.0"."TYPE-C 16PLT-H10.0"."64.25"."13.5"."Top"."180.0"."MicroUSB"."64.25"."13.5".""."".""."".""
"J9"."PK-47309-375"."PK-47309-XXX"."101.797"."17.1"."Top"."270.0".""."101.9"."17.1".""."".""."".""
"J10"."FTS-102-01-L-DV"."SAMTEC_FTS-102-01-L-DV"."103.25"."41.55"."Top"."180.0".""."103.25"."41.55".""."SAM1157-02-ND".""."".""
"J29"."LPPB112NFSS-RC"."YXCON_F343-1211A0CMUB1"."78.8"."26.6"."Top"."90.0"."LA2_IO"."78.8"."26.6".""."S9006E-11-ND".""."".""
"J34"."B2B-XH-A(LF)(SN)"."SHDRV2W64P250_2X1_740X575H700"."12.875"."42.575"."Top"."270.0"."AIN1"."12.35"."41.325"."C158012"."".""."".""
"J36"."FTSH-105-01-X-DV-P-K-X"."SAMTEC_FTSH-105-01-X-DV-P-K-X"."27.5"."26"."Top"."270.0"."DEBUG"."27.5"."26".""."".""."FTSH-105-01-F-DV-K".""
"J37"."LPPB112NFSS-RC"."YXCON_F343-1211A0CMUB1"."36.2"."26.6"."Top"."90.0"."LA2_IO"."36.2"."26.6".""."S9006E-11-ND".""."".""
"L3"."IND_0603_N"."IND_0603_TDK"."51.1"."51.225"."Top"."270.0"."2.2uH 20% 1.8A 0.237ohm"."51.1"."51.225".""."".""."".""
"L8"."DFE252012F-1R0M"."IND_2520_N"."17.6"."21.2"."Top"."90.0"."1uH"."17.6"."21.2".""."".""."".""
"L9"."DFE252012F-1R0M"."IND_2520_N"."17.6"."12.9"."Top"."90.0"."1uH"."17.6"."12.9".""."".""."".""
"L10"."DFE252012F-1R0M"."IND_2520_N"."17.6"."29.5"."Top"."90.0"."1uH"."17.6"."29.5".""."".""."".""
"R1"."RES_0402"."RES_0402_202305"."86.5"."28.75"."Top"."0.0"."10K 0402 1%"."86.5"."28.75".""."".""."".""
"R2"."RES_0402"."RES_0402_202305"."92"."38"."Top"."0.0"."10K 0402 1%"."92"."38".""."".""."".""
"R3"."RES_0402"."RES_0402_202305"."86.5"."26.25"."Top"."0.0"."10K 0402 1%"."86.5"."26.25".""."".""."".""
"R4"."RES_0402"."RES_0402_202305"."86.5"."27.75"."Top"."0.0"."10K 0402 1%"."86.5"."27.75".""."".""."".""
"R5"."RES_0402"."RES_0402_202305"."86.5"."31.15"."Top"."180.0"."33R 0402 1%"."86.5"."31.15".""."".""."".""
"R6"."RES_0402"."RES_0402_202305"."86.5"."30.15"."Top"."180.0"."33R 0402 1%"."86.5"."30.15".""."".""."".""
"R7"."RES_0402"."RES_0402_202305"."72.7"."21.45"."Top"."90.0"."10K 0402 1%"."72.7"."21.45".""."".""."".""
"R8"."RES_0402"."RES_0402_202305"."69.7"."21.45"."Top"."90.0"."10K 0402 1%"."69.7"."21.45".""."".""."".""
"R9"."RES_0402"."RES_0402_202305"."68.7"."21.45"."Top"."270.0"."4K7 0402 1%"."68.7"."21.45".""."".""."".""
"R10"."RES_0402"."RES_0402_202305"."64.25"."16.025"."Top"."180.0"."5K1 0402 1%"."64.25"."16.025".""."".""."".""
"R11"."RES_0402"."RES_0402_202305"."66"."17"."Top"."180.0"."5K1 0402 1%"."66"."17".""."".""."".""
"R12"."RES_0402"."RES_0402_202305"."86.2"."17.75"."Top"."0.0"."10K 0402 1%"."86.2"."17.75".""."".""."".""
"R13"."RES_0402"."RES_0402_202305"."86.2"."20.7"."Top"."0.0"."10K 0402 1%"."86.2"."20.7".""."".""."".""
"R14"."RES_0402"."RES_0402_202305"."49.025"."17"."Top"."0.0"."5K1 0402 1%"."49.025"."17".""."".""."".""
"R15"."RES_0402"."RES_0402_202305"."50.75"."16.025"."Top"."0.0"."5K1 0402 1%"."50.75"."16.025".""."".""."".""
"R16"."RES_0402"."RES_0402_202305"."86.2"."21.65"."Top"."180.0"."4K7 0402 1%"."86.2"."21.65".""."".""."".""
"R17"."RES_0402"."RES_0402_202305"."86.5"."34.25"."Top"."0.0"."10K 0402 1%"."86.5"."34.25".""."".""."".""
"R18"."RES_0402"."RES_0402_202305"."86.5"."25.25"."Top"."180.0"."10K 0402 1%"."86.5"."25.25".""."".""."".""
"R19"."RES_0402"."RES_0402_202305"."53.275"."48.375"."Bottom"."270.0"."47R"."53.275"."48.375".""."".""."".""
"R20"."RES_0402"."RES_0402_202305"."65.525"."53.575"."Top"."90.0"."0R"."65.525"."53.575".""."".""."".""
"R21"."RES_1206_N"."RES_1206_N"."46.5"."13.5"."Bottom"."270.0"."0R 1206"."46.5"."13.5".""."".""."".""
"R22"."RES_0603_N"."RES_0603_N"."26.125"."21.875"."Top"."0.0"."100R"."26.125"."21.875".""."".""."".""
"R23"."RES_0402"."RES_0402_202305"."31.3"."32.45"."Top"."90.0"."330R 0402 1%"."31.3"."32.45".""."".""."".""
"R24"."RES_0402"."RES_0402_202305"."82.45"."23.325"."Top"."90.0"."330R 0402 1%"."82.45"."23.325".""."".""."".""
"R25"."RES_0402"."RES_0402_202305"."32.5"."23.45"."Top"."90.0"."330R 0402 1%"."32.5"."23.45".""."".""."".""
"R26"."RES_0402"."RES_0402_202305"."14.025"."58.3"."Bottom"."0.0"."10K 0402 1%"."14.025"."58.3".""."".""."".""
"R27"."RES_0402"."RES_0402_202305"."51.45"."10.75"."Top"."180.0"."330R 0402 1%"."51.45"."10.75".""."".""."".""
"R28"."RES_0402"."RES_0402_202305"."63.55"."10.75"."Top"."0.0"."330R 0402 1%"."63.55"."10.75".""."".""."".""
"R29"."RES_0402"."RES_0402_202305"."103.885"."41.55"."Bottom"."90.0"."0R"."103.885"."41.55".""."".""."".""
"R30"."RES_0402"."RES_0402_202305"."102.615"."41.55"."Bottom"."90.0"."0R"."102.615"."41.55".""."".""."".""
"R31"."RES_0402"."RES_0402_202305"."50.35"."53.175"."Bottom"."360.0"."0R"."50.35"."53.175".""."".""."".""
"R32"."RES_0402"."RES_0402_202305"."71.9"."37.2"."Bottom"."270.0"."33R 0402 1%"."71.9"."37.2".""."".""."".""
"R33"."RES_0402"."RES_0402_202305"."51.1"."48.55"."Top"."90.01"."10K 0402 1%"."51.1"."48.55".""."".""."".""
"R34"."RES_0402"."RES_0402_202305"."73.1"."37.2"."Bottom"."270.0"."33R 0402 1%"."73.1"."37.2".""."".""."".""
"R35"."RES_0402"."RES_0402_202305"."71.3"."35.25"."Bottom"."270.0"."33R 0402 1%"."71.3"."35.25".""."".""."".""
"R36"."RES_0402"."RES_0402_202305"."70.7"."37.2"."Bottom"."270.0"."33R 0402 1%"."70.7"."37.2".""."".""."".""
"R37"."RES_0402"."RES_0402_202305"."72.5"."35.25"."Bottom"."270.0"."33R 0402 1%"."72.5"."35.25".""."".""."".""
"R38"."RES_0402"."RES_0402_202305"."94"."24.15"."Bottom"."270.0"."330R 0402 1%"."94"."24.15".""."".""."".""
"R41"."RES_0402"."RES_0402_202305"."44.35"."15.9"."Bottom"."90.0"."10K 0402 1%"."44.35"."15.9".""."".""."".""
"R42"."RES_0402"."RES_0402_202305"."70.925"."16.3"."Bottom"."90.0"."10K 0402 1%"."70.925"."16.3".""."".""."".""
"R46"."RES_0402"."RES_0402_202305"."48.475"."26.425"."Top"."270.0"."10K 0402 1%"."48.475"."26.425".""."".""."".""
"R47"."RES_0402"."RES_0402_202305"."11.75"."61.125"."Top"."0.0"."10K 0402 1%"."11.75"."61.125".""."".""."".""
"R48"."RES_0402"."RES_0402_202305"."48.475"."28.225"."Top"."90.0"."10K 0402 1%"."48.475"."28.225".""."".""."".""
"R133"."RES_0402_N"."RES_0402_N"."12.1"."24.15"."Top"."180.0"."100K"."12.1"."24.15".""."".""."".""
"R134"."RES_0402_N"."RES_0402_N"."14.1"."25.15"."Top"."0.0"."453K"."14.1"."25.15".""."".""."".""
"R135"."RES_0402_N"."RES_0402_N"."14.1"."24.15"."Top"."0.0"."453K"."14.1"."24.15".""."".""."".""
"R136"."RES_0402_N"."RES_0402_N"."12.1"."15.85"."Top"."180.0"."100K"."12.1"."15.85".""."".""."".""
"R137"."RES_0402_N"."RES_0402_N"."14.1"."16.85"."Top"."0.0"."453K"."14.1"."16.85".""."".""."".""
"R138"."RES_0402_N"."RES_0402_N"."14.1"."15.85"."Top"."0.0"."453K"."14.1"."15.85".""."".""."".""
"R139"."RES_0402_N"."RES_0402_N"."12.1"."32.45"."Top"."180.0"."100K"."12.1"."32.45".""."".""."".""
"R142"."RES_0402_N"."RES_0402_N"."14.1"."33.45"."Top"."0.0"."100K"."14.1"."33.45".""."".""."".""
"R143"."RES_0402_N"."RES_0402_N"."14.1"."32.45"."Top"."0.0"."453K"."14.1"."32.45".""."".""."".""
"R144"."RES_0603_N"."RES_0603_N"."45.4"."28.3"."Bottom"."0.01"."100R"."45.4"."28.3".""."".""."".""
"R145"."RES_0603_N"."RES_0603_N"."66.8"."31.3"."Bottom"."270.0"."100R"."66.8"."31.3".""."".""."".""
"R146"."RES_0603_N"."RES_0603_N"."45.4"."33.1"."Bottom"."0.01"."100R"."45.4"."33.1".""."".""."".""
"R147"."RES_0402"."RES_0402_202305"."60.7"."36.75"."Bottom"."0.0"."10K 0402 1%"."60.7"."36.75".""."".""."".""
"R148"."RES_0402"."RES_0402_202305"."74.9"."32.55"."Top"."180.0"."330R 0402 1%"."74.9"."32.55".""."".""."".""
"R149"."RES_0402"."RES_0402_202305"."74.9"."33.45"."Top"."180.0"."330R 0402 1%"."74.9"."33.45".""."".""."".""
"R152"."RES_0603_N"."RES_0603_N"."45.4"."30"."Bottom"."180.01"."1R 0603"."45.4"."30".""."".""."".""
"R153"."RES_0603_N"."RES_0603_N"."57.35"."37.2"."Bottom"."0.0"."1R 0603"."57.35"."37.2".""."".""."".""
"R154"."RES_0603_N"."RES_0603_N"."66.8"."28"."Bottom"."270.0"."1R 0603"."66.8"."28".""."".""."".""
"R155"."RES_0603_N"."RES_0603_N"."64.7"."22.8"."Bottom"."0.01"."1R 0603"."64.7"."22.8".""."".""."".""
"R156"."RES_0402"."RES_0402_202305"."75.2"."29.05"."Top"."90.01"."10K 0402 1%"."75.2"."29.05".""."".""."".""
