"RefDes","Manufacturer","Mpn","Place","PcbSide","X","Y","Rotation"
"R13","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.2","20.7","0"
"R14","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","true","Top","49.025","17","0"
"R15","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","true","Top","50.75","16.025","0"
"R16","UNI-ROYAL(Uniroyal Elec)","0402WGF4701TCE","true","Top","86.2","21.65","180"
"R17","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.5","34.25","0"
"R18","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.5","25.25","180"
"R19","UNI-ROYAL(Uniroyal Elec)","0402WGF470JTCE","true","Bottom","53.275","48.375","-90"
"R20","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","true","Top","65.525","53.575","90"
"R21","UNI-ROYAL(Uniroyal Elec)","HP06W2J0000T5E","true","Bottom","46.5","13.5","-90"
"R22","UNI-ROYAL(Uniroyal Elec)","0603WAF1000T5E","true","Top","26.125","21.875","0"
"R23","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","31.3","32.45","90"
"R24","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","82.45","23.325","90"
"R25","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","32.5","23.45","90"
"R26","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","14.025","58.3","0"
"R27","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","51.45","10.75","180"
"R28","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","63.55","10.75","0"
"R29","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","true","Bottom","103.885","41.55","90"
"R30","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","true","Bottom","102.615","41.55","90"
"R31","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","true","Bottom","50.35","53.175","0"
"R32","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","71.9","37.2","-90"
"R33","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","51.1","48.55","90.01"
"R34","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","73.1","37.2","-90"
"R35","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","71.3","35.25","-90"
"R36","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","70.7","37.2","-90"
"R37","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","72.5","35.25","-90"
"R38","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Bottom","94","24.15","-90"
"R41","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","44.35","15.9","90"
"R42","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","70.925","16.3","90"
"R46","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","48.475","26.425","-90"
"R47","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","11.75","61.125","0"
"R48","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","48.475","28.225","90"
"R133","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","12.1","24.15","180"
"R134","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.1","25.15","0"
"R135","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.1","24.15","0"
"R136","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","12.1","15.85","180"
"R137","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.1","16.85","0"
"R138","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.1","15.85","0"
"R139","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","12.1","32.45","180"
"R142","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","14.1","33.45","0"
"R143","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.1","32.45","0"
"R144","UNI-ROYAL(Uniroyal Elec)","0603WAF1000T5E","true","Bottom","45.4","28.3","0.01"
"R145","UNI-ROYAL(Uniroyal Elec)","0603WAF1000T5E","true","Bottom","66.8","31.3","-90"
"R146","UNI-ROYAL(Uniroyal Elec)","0603WAF1000T5E","true","Bottom","45.4","33.1","0.01"
"R147","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","60.7","36.75","0"
"R148","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","74.9","32.55","180"
"R149","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","74.9","33.45","180"
"R152","UNI-ROYAL(Uniroyal Elec)","0603WAF100KT5E","true","Bottom","45.4","30","-179.99"
"R153","UNI-ROYAL(Uniroyal Elec)","0603WAF100KT5E","true","Bottom","57.35","37.2","0"
"R154","UNI-ROYAL(Uniroyal Elec)","0603WAF100KT5E","true","Bottom","66.8","28","-90"
"R155","UNI-ROYAL(Uniroyal Elec)","0603WAF100KT5E","true","Bottom","64.7","22.8","0.01"
"R156","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","75.2","29.05","90.01"
"R157","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","74.9","34.4","0.01"
"R158","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","73.1","34.4","0.01"
"R159","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","63.9","35.5","90"
"R160","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","75.25","23.325","-90"
"R161","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","73.1","29.05","90.01"
"R162","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","72.05","29.05","90"
