"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP",""
"C71","CAP_0603_N","CAP_0603_N","13.175","24.65","Top","270.0","100nF 16V 0603 X7R 10%","13.175","24.65","","","","",""
"C72","CAP_0603_N","CAP_0603_N","13.675","39.15","Top","0.0","100nF 16V 0603 X7R 10%","13.675","39.15","","","","",""
"C73","CAP_0603_N","CAP_0603_N","47.355","24.525","Top","270.0","100nF 16V 0603 X7R 10%","47.355","24.525","","","","",""
"C74","CAP_0603_N","CAP_0603_N","48.1","39.15","Top","0.0","100nF 16V 0603 X7R 10%","48.1","39.15","","","","",""
"C128","CAP_0603_N","CAP_0603_N","24.2","93.575","Top","0.0","100nF 16V 0603 X7R 10%","24.2","93.575","C66501","","","",""
"C129","CAP_0603_N","CAP_0603_N","45.35","99.225","Top","180.0","100nF 16V 0603 X7R 10%","45.35","99.225","C66501","","","",""
"D1","LED 0603 GREEN","LED_0603_WURTH","13.05","155.15","Top","90.0","V5P0_B","13.05","155.15","","","","",""
"D2","LED 0603 RED","LED_0603_WURTH","26.8","24.65","Top","90.0","V3P3_CPU","26.8","24.65","","","","",""
"D3","LED 0603 GREEN","LED_0603_WURTH","56.55","155.15","Top","90.0","V5P0_B","56.55","155.15","","","","",""
"E1","MDD_SMA_DO214AC_SMAJ5.0A","DIOM510X266X229L115X145N","12.1","160.75","Top","90.0","5Vrwm 'AE'","12.1","160.75","C113952","","","",""
"E2","MDD_SMA_DO214AC_SMAJ7.0A","DIOM510X266X229L115X145N","57.55","160.75","Top","90.0","12Vrwm 'AM'","57.55","160.75","C113957","","","",""
"E5","MDD_SMA_DO214AC_SMAJ48A","DIOM510X266X229L115X145N","22.8","161.9","Top","0.0","48Vrwm 'CX'","22.8","161.9","C173502","","","",""
"J1","B4P-VH(LF)(SN)","JST_B4P-VH(LF)(SN)","34.8","149.7","Top","180.0","M2","34.8","149.15","","","","10164227-1004A1RLF",""
"J2","B5B-PH-SM4-TB(LF)(SN)","JST_B5B-PH-SM4-TB","13.8","83.4","Top","90.0","ED1_B","15.05","79.4","","","","",""
"J3","B5B-PH-SM4-TB(LF)(SN)","JST_B5B-PH-SM4-TB","55.8","83.4","Top","270.0","ED2_B","54.55","87.4","","","","",""
"J5","B4P-VH(LF)(SN)","JST_B4P-VH(LF)(SN)","34.8","43.1","Top","0.0","M1","34.8","43.65","","","","10164227-1004A1RLF",""
"J6","B2B-XH-A(LF)(SN)","SHDRV2W64P250_2X1_740X575H700","46.75","169.875","Top","0.0","FAN","48","169.35","C158012","","","",""
"J7","B2P-VH(LF)(SN)","JST_B2P-VH(LF)(SN)","22.8","168.4","Top","180.0","48V","22.8","168.15","","","","B2P-VH(LF)(SN)",""
"J23","2-2387405-2-CARD","2387405-2-CARD","34.8","13.5","Top","0.0","Port_1","39.8","13.2","","","","",""
"J35","B9B-XH-A(LF)(SN)","SHDRV9W64P250_9X1_2490X575H700","13.025","104.15","Top","90.0","ED1_A","13.55","114.15","C157966","","","",""
"J36","B9B-XH-A(LF)(SN)","SHDRV9W64P250_9X1_2490X575H700","56.575","104.15","Top","270.0","ED2_A","56.05","94.15","C157966","","","",""
"L1","FHD4020S-150MT","SUNLORD_4030S","16.3","162.15","Top","180.0","15uH ~~2.5Asat","16.3","162.15","C602033","","","",""
"L2","FHD4020S-150MT","SUNLORD_4030S","53.3","156.15","Top","0.0","15uH ~~2.5Asat","53.3","156.15","C602033","","","",""
"MH1","Round","ROUND","13.8","169.15","Top","90.0","","13.8","169.15","","","","",""
"MH2","Round","ROUND","55.8","169.15","Top","90.0","","55.8","169.15","","","","",""
"Q1","BSC098N10NS5","IRF_PG-TDSON-8","26.55","54.097","Top","270.0","","26.55","53.65","C466988","","","",""
"Q2","BSC098N10NS5","IRF_PG-TDSON-8","26.55","65.597","Top","270.0","2A -20V","26.55","65.15","C466988","","","",""
"Q3","BSC098N10NS5","IRF_PG-TDSON-8","32.05","54.097","Top","270.0","","32.05","53.65","C466988","","","",""
"Q4","BSC098N10NS5","IRF_PG-TDSON-8","32.05","65.597","Top","270.0","2A -20V","32.05","65.15","C466988","","","",""
"Q5","BSC098N10NS5","IRF_PG-TDSON-8","37.55","54.097","Top","270.0","","37.55","53.65","C466988","","","",""
"Q6","BSC098N10NS5","IRF_PG-TDSON-8","43.05","138.702","Top","90.0","","43.05","139.15","C466988","","","",""
"Q7","BSC098N10NS5","IRF_PG-TDSON-8","43.05","127.202","Top","90.0","2A -20V","43.05","127.65","C466988","","","",""
"Q8","BSC098N10NS5","IRF_PG-TDSON-8","37.55","138.702","Top","90.0","","37.55","139.15","C466988","","","",""
"Q9","BSC098N10NS5","IRF_PG-TDSON-8","37.575","127.202","Top","90.0","2A -20V","37.575","127.65","C466988","","","",""
"Q10","BSC098N10NS5","IRF_PG-TDSON-8","32.05","138.702","Top","90.0","","32.05","139.15","C466988","","","",""
"Q11","BSC098N10NS5","IRF_PG-TDSON-8","32.05","127.202","Top","90.0","2A -20V","32.05","127.65","C466988","","","",""
"Q12","BSC098N10NS5","IRF_PG-TDSON-8","26.55","138.702","Top","90.0","","26.55","139.15","C466988","","","",""
"Q13","BSC098N10NS5","IRF_PG-TDSON-8","26.55","127.202","Top","90.0","2A -20V","26.55","127.65","C466988","","","",""
"Q14","BSC098N10NS5","IRF_PG-TDSON-8","37.55","65.597","Top","270.0","2A -20V","37.55","65.15","C466988","","","",""
"Q15","BSC098N10NS5","IRF_PG-TDSON-8","43.05","54.097","Top","270.0","","43.05","53.65","C466988","","","",""
"Q16","BSC098N10NS5","IRF_PG-TDSON-8","43.05","65.597","Top","270.0","2A -20V","43.05","65.15","C466988","","","",""
"R1","RES_0603_N","RES_0603_N","30.05","59.4","Top","90.0","22R 1% 75V","30.05","59.4","","","","",""
"R2","RES_0603_N","RES_0603_N","30.8","69.9","Top","0.0","22R 1% 75V","30.8","69.9","","","","",""
"R3","RES_0603_N","RES_0603_N","24.55","59.4","Top","270.0","22R 1% 75V","24.55","59.4","","","","",""
"R4","RES_0603_N","RES_0603_N","25.3","69.9","Top","180.0","22R 1% 75V","25.3","69.9","","","","",""
"R5","RES_0603_N","RES_0603_N","42.05","88.025","Top","0.0","47R 1% 75V","42.05","88.025","","","","",""
"R6","RES_0603_N","RES_0603_N","42.05","86.65","Top","0.0","47R 1% 75V","42.05","86.65","","","","",""
"R7","RES_0402","RES_0402_202305","21.05","154.087","Top","180.0","118K 0402 1%","21.05","154.087","","","","",""
"R8","RES_0402","RES_0402_202305","21.05","155.087","Top","180.0","22K1 0402 1%","21.05","155.087","","","","",""
"R9","RES_2512_N","RES_2512_N","27.3","75.65","Top","90.0","0R075 1206 1.5W 1%","27.3","75.65","","","","",""
"R10","RES_0603_N","RES_0603_N","41.05","59.4","Top","90.0","22R 1% 75V","41.05","59.4","","","","",""
"R11","RES_0603_N","RES_0603_N","41.8","69.9","Top","0.0","22R 1% 75V","41.8","69.9","","","","",""
"R12","RES_0603_N","RES_0603_N","35.55","59.4","Top","270.0","22R 1% 75V","35.55","59.4","","","","",""
"R13","RES_0603_N","RES_0603_N","36.3","69.9","Top","180.0","22R 1% 75V","36.3","69.9","","","","",""
"R14","RES_0603_N","RES_0603_N","42.05","89.4","Top","0.0","47R 1% 75V","42.05","89.4","","","","",""
"R15","RES_0603_N","RES_0603_N","42.05","90.775","Top","0.0","47R 1% 75V","42.05","90.775","","","","",""
"R16","RES_2512_N","RES_2512_N","42.299","75.65","Top","90.0","0R075 1206 1.5W 1%","42.299","75.65","","","","",""
"R17","RES_0603_N","RES_0603_N","44.425","86.275","Top","270.0","2R2","44.425","86.275","","","","",""
"R18","RES_0603_N","RES_0603_N","11.363","155.15","Top","90.0","470R","11.363","155.15","","","","",""
"R19","RES_0603_N","RES_0603_N","25.425","24.65","Top","270.0","680R","25.425","24.65","","","","",""
"R20","RES_0603_N","RES_0603_N","51.05","24.65","Top","270.0","100K","51.05","24.65","","","","",""
"R21","RES_0603_N","RES_0603_N","27.55","90.775","Top","0.0","10K","27.55","90.775","","","","",""
"R22","RES_0603_N","RES_0603_N","16.175","24.65","Top","90.0","10K","16.175","24.65","","","","",""
"R23","RES_0603_N","RES_0603_N","14.675","24.65","Top","90.0","10K","14.675","24.65","","","","",""
"R24","RES_0603_N","RES_0603_N","27.55","89.4","Top","0.0","10K","27.55","89.4","","","","",""
"R25","RES_0603_N","RES_0603_N","31.05","94.15","Top","90.0","0R","31.05","94.15","","","","",""
"R26","RES_0603_N","RES_0603_N","32.55","94.15","Top","270.0","0R","32.55","94.15","","","","",""
"R27","RES_0603_N","RES_0603_N","34.3","24.65","Top","270.0","100K","34.3","24.65","","","","",""
"R28","RES_0603_N","RES_0603_N","35.8","24.65","Top","270.0","100K","35.8","24.65","","","","",""
"R29","RES_0603_N","RES_0603_N","31.3","24.65","Top","270.0","100K","31.3","24.65","","","","",""
"R30","RES_0603_N","RES_0603_N","32.8","24.65","Top","270.0","100K","32.8","24.65","","","","",""
"R31","RES_0603_N","RES_0603_N","52.55","24.65","Top","90.0","100K","52.55","24.65","","","","",""
"R32","RES_0603_N","RES_0603_N","43.425","24.65","Top","90.0","0R","43.425","24.65","","","","",""
"R33","RES_0402","RES_0402_202305","48.55","164.212","Top","0.0","309K 0402 1%","48.55","164.212","","","","",""
"R34","RES_0402","RES_0402_202305","48.55","163.212","Top","0.0","22K1 0402 1%","48.55","163.212","","","","",""
"R35","RES_0603_N","RES_0603_N","39.55","133.4","Top","270.0","22R 1% 75V","39.55","133.4","","","","",""
"R36","RES_0603_N","RES_0603_N","38.825","122.9","Top","180.0","22R 1% 75V","38.825","122.9","","","","",""
"R37","RES_0603_N","RES_0603_N","45.05","133.4","Top","90.0","22R 1% 75V","45.05","133.4","","","","",""
"R38","RES_0603_N","RES_0603_N","44.3","122.9","Top","0.0","22R 1% 75V","44.3","122.9","","","","",""
"R39","RES_0603_N","RES_0603_N","27.55","104.775","Top","180.0","47R 1% 75V","27.55","104.775","","","","",""
"R40","RES_0603_N","RES_0603_N","27.55","106.15","Top","180.0","47R 1% 75V","27.55","106.15","","","","",""
"R41","RES_2512_N","RES_2512_N","42.3","117.15","Top","270.0","0R075 1206 1.5W 1%","42.3","117.15","","","","",""
"R42","RES_0603_N","RES_0603_N","28.55","133.4","Top","270.0","22R 1% 75V","28.55","133.4","","","","",""
"R43","RES_0603_N","RES_0603_N","27.8","122.9","Top","180.0","22R 1% 75V","27.8","122.9","","","","",""
"R44","RES_0603_N","RES_0603_N","34.05","133.4","Top","90.0","22R 1% 75V","34.05","133.4","","","","",""
"R45","RES_0603_N","RES_0603_N","33.3","122.9","Top","0.0","22R 1% 75V","33.3","122.9","","","","",""
"R46","RES_0603_N","RES_0603_N","27.55","103.4","Top","180.0","47R 1% 75V","27.55","103.4","","","","",""
"R47","RES_0603_N","RES_0603_N","27.55","102.025","Top","180.0","47R 1% 75V","27.55","102.025","","","","",""
"R48","RES_2512_N","RES_2512_N","27.3","117.15","Top","270.0","0R075 1206 1.5W 1%","27.3","117.15","","","","",""
"R49","RES_0603_N","RES_0603_N","25.3","106.525","Top","90.0","2R2","25.3","106.525","","","","",""
"R50","RES_0603_N","RES_0603_N","38.55","98.65","Top","270.0","0R","38.55","98.65","","","","",""
"R51","RES_0603_N","RES_0603_N","37.05","98.65","Top","90.0","0R","37.05","98.65","","","","",""
"R52","RES_0603_N","RES_0603_N","42.05","101.4","Top","180.0","10K","42.05","101.4","","","","",""
"R53","RES_0603_N","RES_0603_N","42.05","102.775","Top","180.0","10K","42.05","102.775","","","","",""
"R54","RES_0603_N","RES_0603_N","58.3","155.15","Top","90.0","2K2","58.3","155.15","","","","",""
"R55","RES_0603_N","RES_0603_N","27.55","92.15","Top","180.0","10K","27.55","92.15","","","","",""
"R56","RES_0603_N","RES_0603_N","42.05","100.025","Top","0.0","10K","42.05","100.025","","","","",""
"R57","RES_2512_N","RES_2512_N","46.737","117.15","Top","270.0","0R075 1206 1.5W 1%","46.737","117.15","","","","",""
"R58","RES_2512_N","RES_2512_N","23.05","117.15","Top","270.0","0R075 1206 1.5W 1%","23.05","117.15","","","","",""
"R59","RES_2512_N","RES_2512_N","23.05","75.65","Top","90.0","0R075 1206 1.5W 1%","23.05","75.65","","","","",""
"R60","RES_2512_N","RES_2512_N","46.55","75.65","Top","90.0","0R075 1206 1.5W 1%","46.55","75.65","","","","",""
"R155","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","24.25","96.4","Top","90.0","2K","24.25","96.4","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R156","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","45.35","96.4","Top","270.0","2K","45.35","96.4","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"U1","LMR51610YDBVR","SOT23-6P95_280X145L45X37N","20.55","157.65","Top","0.0","1100kHz PFM","20.55","157.65","C22427220","","","",""
"U2","TMC5160A-TA-T","TMC_TQFP48-EP_N","34.8","86.9","Top","180.0","","34.8","86.9","","","","",""
"U3","LMR51610YDBVR","SOT23-6P95_280X145L45X37N","49.05","160.65","Top","180.0","1100kHz PFM","49.05","160.65","C22427220","","","",""
"U4","ISO6762DWR","SOIC16P127_1030X1030X265L83X41N_AD4","17.8","32.15","Top","0.0","","17.8","32.15","C5216395","","","",""
"U5","ISO6762DWR","SOIC16P127_1030X1030X265L83X41N_AD4","34.8","32.15","Top","0.0","","34.8","32.15","C5216395","","","",""
"U6","TMC5160A-TA-T","TMC_TQFP48-EP_N","34.8","105.9","Top","0.0","","34.8","105.9","","","","",""
"U7","ISO6762DWR","SOIC16P127_1030X1030X265L83X41N_AD4","51.8","32.15","Top","0.0","","51.8","32.15","C5216395","","","",""
"U42","AM26C32IPWR","SOP16P65_500X640X120L62X24N_AD3","19.7","96.4","Top","180.01","","19.7","96.4","C478459","","","",""
"U43","AM26C32IPWR","SOP16P65_500X640X120L62X24N_AD3","49.9","96.4","Top","0.0","","49.9","96.4","C478459","","","",""
