LCSC,Manufacturer,Mpn,Description
C107701,YAGEO,RC0603FR-0722RL,-55℃~+155℃ 100mW 22Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C114623,YAGEO,RC0603FR-0747RL,-55℃~+155℃ 100mW 47Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C2941097,UNI-ROYAL(Uniroyal Elec),LR123WF750MT4E,3W 75mΩ Current Sense Resistor SMD ±1% ±50ppm/℃ 2512 Current Sense Resistors / Shunt Resistors ROHS
C112307,YAGEO,RC0603FR-072R2L,-55℃~+155℃ 100mW 2.2Ω 75V Thick Film Resistor ±1% ±200ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C114669,YAGEO,RC0603FR-07470RL,-55℃~+155℃ 100mW 470Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C112310,YAGEO,RC0603FR-07680RL,-55℃~+155℃ 100mW 680Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C114662,YAGEO,RC0603FR-072K2L,-55℃~+155℃ 100mW 2.2kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C516354,TRINAMIC Motion Control GmbH,TMC5160A-TA-T,-40℃~+125℃ 256 3.3V~5V 8V~60V Bipolar Driver No STEP/DIR、SPI、UART TQFP-48-EP(7x7) Stepper Motor Driver ROHS
C5216456,Texas Instruments,ISO7762DWR,-55℃~+125℃ 100Mbps 100kV/us 11ns 2 2.25V~5.5V 2.25V~5.5V 4 5000 High Level SOIC-16 Digital Isolators ROHS
C5216395,Texas Instruments,ISO6762DWR,-40℃~+125℃ 0 1.71V~1.89V 11ns 150kV/us 2.25V~5.5V 5000 50Mbps 6 High Level SOIC-16 Digital Isolators ROHS
C478459,Texas Instruments,AM26C32IPWR,-40℃~+85℃ 0 10mA 4 4.5V~5.5V Receiver ±3kV TSSOP-16 RS-485 / RS-422 ICs ROHS
C41371861,XFCN,XF-154,Rectangular Bracket type 1 SMD Fuseholders RoHS
C3259897,BOURNS,AV20K1210401NIR1,22V 400A Varistor Surface Mount 1210
C137001,YAGEO,RC2512JK-073K3L,1W 3.3kΩ 200V Thick Film Resistor ±100ppm/℃ ±5% 2512 Chip Resistor - Surface Mount RoHS
C193402,MDD(Microdiode Semiconductor),SMF5.0A,9.2VC Clamp 21.7A@10/1000us Ipp TVS DIODE SOD-123FL
