"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"C66","CAP_0603_N","CAP_0603_N","191.75","105.7","Top","90.0","10uF 0603 16V 20%","191.75","105.7","","","","",""
"C67","CAP_0603_N","CAP_0603_N","175.15","93.2","Top","0.01","10nF 6.3V 0603 20% X5R","175.15","93.2","","","","",""
"C68","CAPP_1206_N","CAPP_1206_N","61.25","57.85","Top","180.0","22uF 16V X5R TANTALUM","61.25","57.85","","","","",""
"C69","CAP_0603_N","CAP_0603_N","67.05","50.5","Top","90.0","10uF 0603 16V 20%","67.05","50.5","","","","",""
"C70","GRM32ER71J106KA12L","CAP_1210_N","37.65","45.6","Top","0.0","2.2uF 63V X5R","37.65","45.6","C437568","","","",""
"C71","CAP_0402","CAP_0402_MURATA","74.6","79.2","Top","270.0","100nF 6.3V 0402","74.6","79.2","","","","",""
"C72","CAP_0603_N","CAP_0603_N","178","93.2","Top","0.01","10nF 6.3V 0603 20% X5R","178","93.2","","","","",""
"C73","CAP_0402","CAP_0402_MURATA","103.8","57.5","Top","0.0","1uF 6.3V 0402","103.8","57.5","","","","",""
"C74","CAP_0603_N","CAP_0603_N","164.35","91.75","Top","0.0","100nF 16V 0603 X7R 10%","164.35","91.75","C66501","","","",""
"C75","CAP_0402","CAP_0402_MURATA","196.5","86.2","Top","90.0","100nF 10V 0402","196.5","86.2","","","","",""
"C76","CAP_0603_N","CAP_0603_N","180.85","93.2","Top","0.01","10nF 6.3V 0603 20% X5R","180.85","93.2","","","","",""
"C77","CAP_0603_N","CAP_0603_N","207.2","43","Top","180.0","100nF 16V 0603 X7R 10%","207.2","43","C66501","","","",""
"C78","CAP_0603_N","CAP_0603_N","180.85","100.3","Top","0.01","10nF 6.3V 0603 20% X5R","180.85","100.3","","","","",""
"C79","CAP_0603_N","CAP_0603_N","53.1","87.4","Top","270.0","1uF 25V 0603 X5R","53.1","87.4","","","","",""
"C80","CAP_0402","CAP_0402_MURATA","201.9","84.95","Top","270.0","100nF 6.3V 0402","201.9","84.95","","","","",""
"C81","CAP_0603_N","CAP_0603_N","178","100.3","Top","0.01","10nF 6.3V 0603 20% X5R","178","100.3","","","","",""
"C82","CAP_0603_N","CAP_0603_N","175.15","100.3","Top","0.01","10nF 6.3V 0603 20% X5R","175.15","100.3","","","","",""
"C83","CAP_0603_N","CAP_0603_N","172.3","100.3","Top","0.01","10nF 6.3V 0603 20% X5R","172.3","100.3","","","","",""
"C84","CAP_0603_N","CAP_0603_N","155.75","78.25","Top","180.0","100nF 16V 0603 X7R 10%","155.75","78.25","C66501","","","",""
"C85","CAP_0603_N","CAP_0603_N","155.75","67.5","Top","180.0","100nF 16V 0603 X7R 10%","155.75","67.5","C66501","","","",""
"C86","CAP_0603_N","CAP_0603_N","107.75","97.5","Top","0.0","100nF 6.3V 0603 20% X5R","107.75","97.5","","","","",""
"C87","CAP_0603","CAP_0603_N","75.8","79.2","Top","270.0","10uF 10V 0603 X5R 10%","75.8","79.2","","","","",""
"C88","CAP_0402","CAP_0402_MURATA","65.1","79.9","Top","180.0","100nF 10V 0402","65.1","79.9","","","","",""
"C89","CAP_0402","CAP_0402_MURATA","65.15","78.625","Top","0.0","100nF 16V 0402","65.15","78.625","","","","",""
"C90","CAP_0402","CAP_0402_MURATA","51.95","90.15","Top","270.0","100nF 25V 0402 X5R","51.95","90.15","","","","",""
"C91","CAP_0603_N","CAP_0603_N","53.1","80.15","Top","270.0","1uF 25V 0603 X5R","53.1","80.15","","","","",""
"C92","CAP_0603","CAP_0603_N","64.3","76.15","Top","270.0","10uF 10V 0603 X5R 10%","64.3","76.15","","","","",""
"C93","CAP_0402","CAP_0402_MURATA","201.9","87.45","Top","270.0","4.7nF 6.3V 0402 10%","201.9","87.45","","","","",""
"C94","CAP_0402","CAP_0402_MURATA","51.95","82.9","Top","270.0","100nF 25V 0402 X5R","51.95","82.9","","","","",""
"C95","CAP_0402","CAP_0402_MURATA","65.5","71.65","Top","90.0","100nF 16V 0402","65.5","71.65","","","","",""
"C96","CAP_0402","CAP_0402_MURATA","196.5","106.75","Top","90.0","100nF 10V 0402","196.5","106.75","","","","",""
"C97","CAP_0603_N","CAP_0603_N","50.15","55.2","Top","270.0","1nF 25V X5R","50.15","55.2","","","","",""
"C98","CAP_0603_N","CAP_0603_N","53.1","55.2","Top","270.0","1uF 25V 0603 X5R","53.1","55.2","","","","",""
"C99","CAP_0402","CAP_0402_MURATA","51.95","57.95","Top","270.0","100nF 25V 0402 X5R","51.95","57.95","","","","",""
"C100","CAP_0402","CAP_0402_MURATA","103.8","56.25","Top","0.0","470pF 6.3V 0402","103.8","56.25","","","","",""
"C101","CAP_0402","CAP_0402_MURATA","54.45","112.3","Top","90.0","100nF 16V 0402 X7R 10%","54.45","112.3","","","","",""
"C102","CAP_0402","CAP_0402_MURATA","104.5","112.3","Top","90.0","100nF 16V 0402 X7R 10%","104.5","112.3","","","","",""
"C103","CAP_0402","CAP_0402_MURATA","154.5","112.3","Top","90.0","100nF 16V 0402 X7R 10%","154.5","112.3","","","","",""
"C104","CAP_0402","CAP_0402_MURATA","204.5","112.3","Top","90.0","100nF 16V 0402 X7R 10%","204.5","112.3","","","","",""
"C105","CAP_0402","CAP_0402_MURATA","201.9","105.5","Top","270.0","100nF 6.3V 0402","201.9","105.5","","","","",""
"C106","CAP_0402","CAP_0402_MURATA","201.9","108","Top","270.0","4.7nF 100V 0402 10% X7R","201.9","108","C415704","","","GRM155R72A472KA01D",""
"C107","NEV220M63","CAPPRD500W60D1050H2200","26.15","73.35","Top","135.0","","26.15","73.35","","","","",""
"C108","330uF ±20% 50V","CAPPRD500W60D1050H2200","92.45","38.5","Top","90.0","","92.45","38.5","C2166065","","","",""
"C109","330uF ±20% 50V","CAPPRD500W60D1050H2200","103.4","38.5","Top","90.0","","103.4","38.5","C2166065","","","",""
"C110","330uF ±20% 50V","CAPPRD500W60D1050H2200","26.2","35.5","Top","45.0","","26.2","35.5","C2166065","","","",""
"C111","CAP_0402","CAP_0402_MURATA","97.75","59.3","Top","90.0","100nF 6.3V 0402","97.75","59.3","","","","",""
"C112","CAP_0603_N","CAP_0603_N","51.25","39.55","Top","0.0","22pF 16V X7R","51.25","39.55","","","","",""
"C113","CAP_1210","CAP_1210_N","49","26.55","Top","90.0","47uF 16V X7R","49","26.55","","","","",""
"C114","CAP_1210","CAP_1210_N","49","21.8","Top","270.0","47uF 16V X7R","49","21.8","","","","",""
"C115","CAP_1210","CAP_1210_N","59.5","21.8","Top","270.0","47uF 16V X7R","59.5","21.8","","","","",""
"C116","CAP_0805_N","CAP_0805_N","28.25","17.6","Top","0.0","22uF 25V X5R","28.25","17.6","","","","",""
"C117","CAP_0805_N","CAP_0805_N","28.25","19.6","Top","0.0","22uF 25V X5R","28.25","19.6","","","","",""
"C118","CAP_0603_N","CAP_0603_N","27.6","22.85","Top","90.0","100nF 63V X5R","27.6","22.85","","","","",""
"C119","GRM32ER71J106KA12L","CAP_1210_N","30.35","27.45","Top","90.0","2.2uF 63V X5R","30.35","27.45","C437568","","","",""
"C121","UMK325B7475MMHT","CAP_1210_N","34.75","32.05","Top","270.0","4.7uF 50V X7R 20%","34.75","32.05","","","","",""
"C122","UMK325B7475MMHT","CAP_1210_N","45.25","32.05","Top","270.0","4.7uF 50V X7R","45.25","32.05","","","","",""
"C123","GRM155R71H223KA12D","CAP_0402_N","36.98","33.05","Top","270.0","22nF 50V 20% X7R","36.98","33.05","","","","",""
"C124","GRM155R71H223KA12D","CAP_0402_N","43","33.05","Top","270.0","22nF 50V 20% X7R","43","33.05","","","","",""
"C125","CAP_0603_N","CAP_0603_N","40","39.55","Top","180.0","1uF 16V X7R","40","39.55","","","","",""
"C126","CAP_1210","CAP_1210_N","34.75","26.55","Top","90.0","47uF 16V X7R","34.75","26.55","","","","",""
"C127","CAP_0603_N","CAP_0603_N","45.25","36.55","Top","90.0","100nF 63V X5R","45.25","36.55","","","","",""
"C128","CAP_0603_N","CAP_0603_N","37","39.55","Top","360.0","22pF 16V X7R","37","39.55","","","","",""
"C129","CAP_1210","CAP_1210_N","34.75","21.8","Top","270.0","47uF 16V X7R","34.75","21.8","","","","",""
"C130","CAP_1210","CAP_1210_N","45.25","21.8","Top","270.0","47uF 16V X7R","45.25","21.8","","","","",""
"C131","CAP_1210","CAP_1210_N","45.25","26.55","Top","90.0","47uF 16V X7R","45.25","26.55","","","","",""
"C132","NEV220M63","CAPPRD500W60D1050H2200","26.2","48.35","Top","135.0","","26.2","48.35","","","","",""
"C171","CAP_0402","CAP_0402_MURATA","125.5","89.5","Top","0.0","100nF 6.3V 0402","125.5","89.5","","","","",""
"D1","SS14","DIOM529X267X242L114X150N","85.4","22.55","Top","90.0","","85.4","22.55","C2480","","","",""
"D2","SS14","DIOM529X267X242L114X150N","81.4","22.55","Top","90.01","","81.4","22.55","C2480","","","",""
"D3","SS310","DIOM529X267X242L114X150N","34.197","64.35","Top","90.0","","34.197","64.35","C3014013","","","",""
"D4","SS310","DIOM529X267X242L114X150N","34.197","57.1","Top","270.0","","34.197","57.1","C3014013","","","",""
"D5","SS14","DIOM529X267X242L114X150N","77.4","22.55","Top","90.0","","77.4","22.55","C2480","","","",""
"D6","SS14","DIOM529X267X242L114X150N","73.4","22.55","Top","90.01","","73.4","22.55","C2480","","","",""
"D7","SS14","DIOM529X267X242L114X150N","69.4","22.55","Top","90.0","","69.4","22.55","C2480","","","",""
"D8","LED 0603 RED","LED_0603_WURTH","198.575","103.675","Top","180.0","V5P0_B","198.575","103.675","","","","",""
"D9","SS14","DIOM529X267X242L114X150N","65.4","22.55","Top","90.01","","65.4","22.55","C2480","","","",""
"D11","SS310","DIOM529X267X242L114X150N","34.15","89.35","Top","90.0","","34.15","89.35","C3014013","","","",""
"D12","SS310","DIOM529X267X242L114X150N","34.15","82.1","Top","270.0","","34.15","82.1","C3014013","","","",""
"D13","LED 0603 GREEN","LED_0603_WURTH","44.5","41.05","Top","180.0","V5P0_B","44.5","41.05","","","","",""
"D14","SS14","DIOM529X267X242L114X150N","195.75","69","Top","0.0","","195.75","69","C2480","","","",""
"D15","SS14","DIOM529X267X242L114X150N","203.25","69","Top","180.0","","203.25","69","C2480","","","",""
"D16","SS14","DIOM529X267X242L114X150N","93.5","20.8","Top","180.0","","93.5","20.8","C2480","","","",""
"D17","SS14","DIOM529X267X242L114X150N","101","20.8","Top","0.0","","101","20.8","C2480","","","",""
"D18","LED 0603 RED","LED_0603_WURTH","67","52.95","Top","180.0","V3P3_CPU","67","52.95","","","","",""
"D22","LED 0603 WHITE","LED_0603_WURTH","20.9","22.85","Top","270.0","V7P0","20.9","22.85","","","","",""
"D24","LED 0603 GREEN","LED_0603_WURTH","58.75","41.05","Top","180.0","V5P0_A","58.75","41.05","","","","",""
"D25","LED 0603 GREEN","LED_0603_WURTH","55.9","58.45","Top","90.0","V5P0_ISOLATED_1","55.9","58.45","","","","",""
"D26","LED 0603 GREEN","LED_0603_WURTH","55.9","83.4","Top","90.0","V5P0_ISOLATED_2","55.9","83.4","","","","",""
"E1","SMCJ6.0A-E3/57T","DIOM794X590X262L114X305N","204.9","21.8","Top","180.0","SMCJ6.0","204.9","21.8","C1976142","","","",""
"E2","MDD_SMA_DO214AC_SMAJ48A","DIOM510X266X229L115X145N","33.4","48.1","Top","90.0","48Vrwm 'CX'","33.4","48.1","C173502","","","",""
"E3","MDD_SMA_DO214AC_SMAJ24A","DIOM510X266X229L115X145N","24.05","27.4","Top","180.0","24Vrwm 'BZ'","24.05","27.4","C113962","","","",""
"E4","MDD_SMA_DO214AC_SMAJ12A","DIOM510X266X229L115X145N","46.9","48.85","Top","90.0","12Vrwm 'BE'","46.9","48.85","C113957","","","",""
"E5","MDD_SMA_DO214AC_SMAJ5.0A","DIOM510X266X229L115X145N","54.25","20.55","Top","180.01","5Vrwm 'AE'","54.25","20.55","C113952","","","",""
"E6","MDD_SMA_DO214AC_SMAJ5.0A","DIOM510X266X229L115X145N","51.85","50.6","Top","180.0","5Vrwm 'AE'","51.85","50.6","C113952","","","",""
"E7","MDD_SMA_DO214AC_SMAJ7.0A","DIOM510X266X229L115X145N","22.2","18.35","Top","180.0","7Vrwm 'AM'","22.2","18.35","C173509","","","",""
"E8","MDD_SMA_DO214AC_SMAJ5.0A","DIOM510X266X229L115X145N","40","20.55","Top","180.0","5Vrwm 'AE'","40","20.55","C113952","","","",""
"E10","MDD_SMA_DO214AC_SMAJ48A","DIOM510X266X229L115X145N","33.4","73.1","Top","90.0","48Vrwm 'CX'","33.4","73.1","C173502","","","",""
