"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"C64","CAP_0402","RES_0402_202305","51.95","65.2","Top","270.0","100nF 25V 0402 X5R","51.95","65.2","","","","",""
"C65","CAP_0603_N","CAP_0603_N","53.1","87.4","Top","270.0","1uF 25V 0603 X5R","53.1","87.4","","","","",""
"C66","CAP_0603_N","CAP_0603_N","53.1","62.45","Top","270.0","1uF 25V 0603 X5R","53.1","62.45","","","","",""
"C67","CAP_0603_N","CAP_0603_N","50.2","87.4","Top","270.0","1nF 25V 0603 X5R","50.2","87.4","","","","",""
"C68","CAP_0603_N","CAP_0603_N","50.2","62.45","Top","270.0","1nF 25V 0603 X5R","50.2","62.45","","","","",""
"C69","CAP_0603_N","CAP_0603_N","79.3","53.55","Top","90.0","100nF 16V 0603 X7R 10%","79.3","53.55","C66501","","","",""
"C70","CAP_0603_N","CAP_0603_N","191.75","105.7","Top","90.0","10uF 16V 0603 X5R 20%","191.75","105.7","","","","",""
"C71","CAP_0603_N","CAP_0603_N","193.2","105.7","Top","90.0","10uF 16V 0603 X5R 20%","193.2","105.7","","","","",""
"C72","CAP_0603_N","CAP_0603_N","194.65","105.7","Top","90.0","10uF 16V 0603 X5R 20%","194.65","105.7","","","","",""
"C73","CAP_0402","RES_0402_202305","103.8","56.25","Top","0.0","470pF 6.3V 0402","103.8","56.25","","","","",""
"C74","CAP_0402","RES_0402_202305","103.8","57.5","Top","0.0","1uF 6.3V 0402","103.8","57.5","","","","",""
"C75","CAP_0402","RES_0402_202305","97.75","59.3","Top","90.0","100nF 6.3V 0402","97.75","59.3","","","","",""
"C76","CAP_0402","RES_0402_202305","101.9","50.375","Top","90.01","100nF 6.3V 0402","101.9","50.375","","","","",""
"C77","CAP_0402","RES_0402_202305","95.5","50.375","Top","90.01","100nF 6.3V 0402","95.5","50.375","","","","",""
"C78","CAP_0603_N","CAP_0603_N","103.8","48.125","Top","90.0","10uF 16V 0603 X5R 20%","103.8","48.125","","","","",""
"C79","CAP_0402","RES_0402_202305","196.5","86.2","Top","90.0","100nF 10V 0402","196.5","86.2","","","","",""
"C80","CAP_0402","RES_0402_202305","196.5","106.75","Top","90.0","100nF 10V 0402","196.5","106.75","","","","",""
"C81","CAP_0402","RES_0402_202305","95.65","46.875","Top","180.0","100nF 6.3V 0402","95.65","46.875","","","","",""
"C82","CAP_0402","RES_0402_202305","201.9","84.95","Top","270.0","100nF 6.3V 0402","201.9","84.95","","","","",""
"C83","CAP_0402","RES_0402_202305","201.9","105.5","Top","270.0","100nF 6.3V 0402","201.9","105.5","","","","",""
"C84","CAP_0402","RES_0402_202305","201.9","108","Top","270.0","4.7nF 100V 0402 X7R 10%","201.9","108","C415704","","","GRM155R72A472KA01D",""
"C85","CAP_0402","RES_0402_202305","201.9","87.45","Top","270.0","4.7nF 100V 0402 X7R 10%","201.9","87.45","C415704","","","GRM155R72A472KA01D",""
"C86","CAP_0603_N","CAP_0603_N","144.75","27.4","Top","0.0","1uF 25V 0603 X7R 10%","144.75","27.4","C29936","","","",""
"C87","CAP_0603_N","CAP_0603_N","144.75","25.8","Top","0.0","100nF 16V 0603 X7R 10%","144.75","25.8","C66501","","","",""
"C88","CAP_0402","RES_0402_202305","125.5","89.5","Top","0.0","100nF 6.3V 0402","125.5","89.5","","","","",""
"C89","CAP_0402","RES_0402_202305","105.5","90.2","Top","0.0","100nF 6.3V 0402","105.5","90.2","","","","",""
"C90","CAP_0402","RES_0402_202305","63.975","77.75","Top","180.0","100nF 16V 0402","63.975","77.75","","","","",""
"C91","CAP_0603_N","CAP_0603_N","65.575","77.975","Top","90.0","10uF 16V 0603 X5R 20%","65.575","77.975","","","","",""
"C92","CAP_0402","RES_0402_202305","37.55","103.55","Top","180.0","100nF 6.3V 0402","37.55","103.55","","","","",""
"C93","CAP_0402","RES_0402_202305","19","103.55","Top","180.0","100nF 6.3V 0402","19","103.55","","","","",""
"C94","CAP_0402","RES_0402_202305","65.5","71.65","Top","90.0","100nF 16V 0402","65.5","71.65","","","","",""
"C95","CAP_0402","RES_0402_202305","65.1","79.9","Top","180.0","100nF 10V 0402","65.1","79.9","","","","",""
"C96","CAP_0402","RES_0402_202305","74.6","79.2","Top","270.0","100nF 6.3V 0402","74.6","79.2","","","","",""
"C97","CAP_0603_N","CAP_0603_N","75.8","79.2","Top","270.0","10uF 16V 0603 X5R 20%","75.8","79.2","","","","",""
"C98","CAP_0603_N","CAP_0603_N","172.3","93.2","Top","0.01","10nF 6.3V 0603 X5R 20%","172.3","93.2","","","","",""
"C99","CAP_0603_N","CAP_0603_N","175.15","93.2","Top","0.01","10nF 6.3V 0603 X5R 20%","175.15","93.2","","","","",""
"C100","CAP_0603_N","CAP_0603_N","102","102.75","Top","90.0","10nF 6.3V 0603 X5R 20%","102","102.75","","","","",""
"C101","CAP_0603_N","CAP_0603_N","107.75","97.5","Top","0.0","100nF 6.3V 0603 X5R 20%","107.75","97.5","","","","",""
"C102","CAP_0603_N","CAP_0603_N","116.25","98.75","Top","270.0","10nF 6.3V 0603 X5R 20%","116.25","98.75","","","","",""
"C103","CAP_0603_N","CAP_0603_N","102","98.75","Top","270.0","10nF 6.3V 0603 X5R 20%","102","98.75","","","","",""
"C104","CAP_0603_N","CAP_0603_N","178","93.2","Top","0.01","10nF 6.3V 0603 X5R 20%","178","93.2","","","","",""
"C105","CAP_0603_N","CAP_0603_N","116.25","102.75","Top","90.0","10nF 6.3V 0603 X5R 20%","116.25","102.75","","","","",""
"C106","CAP_0603_N","CAP_0603_N","103.5","98.75","Top","270.0","10nF 6.3V 0603 X5R 20%","103.5","98.75","","","","",""
"C107","CAP_0603_N","CAP_0603_N","117.75","98.75","Top","270.0","10nF 6.3V 0603 X5R 20%","117.75","98.75","","","","",""
"C108","CAP_0603_N","CAP_0603_N","180.85","93.2","Top","0.01","10nF 6.3V 0603 X5R 20%","180.85","93.2","","","","",""
"C109","CAP_0603_N","CAP_0603_N","103.5","102.75","Top","90.0","10nF 6.3V 0603 X5R 20%","103.5","102.75","","","","",""
"C110","CAP_0603_N","CAP_0603_N","117.75","102.75","Top","90.0","10nF 6.3V 0603 X5R 20%","117.75","102.75","","","","",""
"C111","CAP_0603_N","CAP_0603_N","180.85","100.3","Top","0.01","10nF 6.3V 0603 X5R 20%","180.85","100.3","","","","",""
"C112","CAP_0603_N","CAP_0603_N","178","100.3","Top","0.01","10nF 6.3V 0603 X5R 20%","178","100.3","","","","",""
"C113","CAP_0603_N","CAP_0603_N","186.5","24.5","Top","90.0","10nF 6.3V 0603 X5R 20%","186.5","24.5","","","","",""
"C114","CAP_0603_N","CAP_0603_N","175.15","100.3","Top","0.01","10nF 6.3V 0603 X5R 20%","175.15","100.3","","","","",""
"C115","CAP_0603_N","CAP_0603_N","181","24.5","Top","90.0","10nF 6.3V 0603 X5R 20%","181","24.5","","","","",""
"C116","CAP_0603_N","CAP_0603_N","172.3","100.3","Top","0.01","10nF 6.3V 0603 X5R 20%","172.3","100.3","","","","",""
"C117","CAP_0603_N","CAP_0603_N","186","18.4","Top","270.0","10nF 6.3V 0603 X5R 20%","186","18.4","","","","",""
"C118","CAP_0603_N","CAP_0603_N","188.8","18.4","Top","270.0","10nF 6.3V 0603 X5R 20%","188.8","18.4","","","","",""
"C119","CAP_0603_N","CAP_0603_N","196","18.15","Top","270.0","100nF 16V 0603 X7R 10%","196","18.15","C66501","","","",""
