"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"70","J34","1","B3B-XH-A(LF)(SN)","CAN1","SHDRV3W64P250_3X1_990X575H700","JST","","","C144394","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","3"
"71","J35","1","B9B-XH-A(LF)(SN)","EDZ","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"72","J36","1","B9B-XH-A(LF)(SN)","EDC","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"73","J37","1","B5B-XH-A(LF)(SN)","BCD_E","SHDRV5W64P250_5X1_1490X575H700","JST","","","C157991","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","5"
"74","J38","1","B5B-XH-A(LF)(SN)","XYZ_F","SHDRV5W64P250_5X1_1490X575H700","JST","","","C157991","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","5"
"75","J40, J41, J42, J43","4","10164227-1004A1RLF","","AMPHENOL_10164227-1004A1RLF","Amphenol ICC (FCI)","","","","","","","100"
"76","L1, L4, L5","3","SMNR4030-22UH","22uH ~1A","SUNLORD_4030S","Shun Xiang Nuo","","","C135274","","","https://www.lcsc.com/datasheet/C135274.pdf","2"
"77","L2, L3","2","AAPS-H","4.7uH","INDM686X647X300L127X318N","Coilank","","","C49073771","","","https://www.lcsc.com/datasheet/C49073771.pdf","2"
"78","L6","1","IND_0603_N","600R@100MHz +/-25%, 350mA, 500mohm DC","IND_0603_TDK","TAI-TECH","","","C141723","","","https://www.lcsc.com/datasheet/C141723.pdf","2"
"79","LS1","1","HCM1205","","CEP-2242","SoniCrest","","","","","","http://pribor-systems.ru/fromoremax/PDF/JL_World/HCM12X.pdf","2"
"80","MH1, MH2, MH3, MH4, MH1_PE","5","Round","","ROUND","","","","","","","","9"
"81","Q1, Q2, Q3, Q4","4","IRF7341PbF","","SOIC8P127_490X600X175L83X42N_AD1","International Rectifier","","","","942-IRF7341PBF","IRF7341PBF-ND","https://www.infineon.com/assets/row/public/documents/24/49/infineon-irf7341-datasheet-en.pdf","8"
"82","Q5, Q6, Q7, Q8","4","TK110P10PL","","DPAK3P228_991X238L51X76T645X546N_AP1","Toshiba","","","C695267","","","https://www.lcsc.com/datasheet/C695267.pdf","3"
"83","Q9, Q11","2","SI1902CDL-T1-GE3","2A -20V","SOT23-6P65_210X110L20X22M","VISHAY","","","C466988","","","https://www.lcsc.com/datasheet/C466988.pdf","6"
"84","Q10","1","BSS138LT1G","","SOT23-3P95_240X110L43X44N","ON Semiconductor","","","C82045","863-BSS138LT1G","BSS138LT1GOSDKR-ND","http://datasheets.diptrace.com/on_semi/bss138lt1-d.pdf","3"
"85","R1, R2, R3, R4, R9, R10, R111","7","RES_0603_N","0R","RES_0603_N","","","","","","","","2"
"86","R5, R6","2","RES_0603_N","33K2","RES_0603_N","","","","","","","","2"
"87","R7","1","RES_0402","174K 0402 1%","RES_0402_202305","","","","","","","","2"
"88","R8, R34, R36, R109","4","RES_0402","22K1 0402 1%","RES_0402_202305","","","","","","","","2"
"89","R11, R13, R24, R25","4","RES_0603_N","100K","RES_0603_N","","","","","","","","2"
"90","R12, R14","2","RES_0603_N","24K9","RES_0603_N","","","","","","","","2"
"91","R15, R16, R17, R61, R116, R117, R120, R121, R123, R124, R125, R126, R128, R129, R130, R131, R132, R133, R135, R137, R138, R139, R140, R142, R144","25","RES_0603_N","1K","RES_0603_N","","","","","","","","2"
"92","R18, R19, R20, R21, R22, R30, R32, R38, R40, R42, R44, R48, R54","13","RES_0603_N","330R","RES_0603_N","","","","","","","","2"
"93","R23, R145, R146, R148, R150","5","RES_0603_N","510R","RES_0603_N","","","","","","","","2"
"94","R26, R27","2","RES_0402","100K 0402 1%","RES_0402_202305","","","","","","","","2"
"95","R28","1","RES_1812_M","33K","RESC450X320X65L50N","","","","","","","","2"
"96","R29, R31, R37, R39, R41, R43, R45, R46, R47, R49, R50, R53, R55, R56, R57, R58, R114, R115, R118, R119, R122, R127, R134, R136, R141, R147, R149","27","RES_0603_N","10K","RES_0603_N","","","","","","","","2"
"97","R33, R35","2","RES_0402","309K 0402 1%","RES_0402_202305","","","","","","","","2"
"98","R51, R52, R59, R60, R99, R100, R101, R102","8","RES_0603_N","10R","RES_0603_N","","","","","","","","2"
"99","R62","1","RES_0402","1K5 0402 1%","RES_0402_202305","","","","","","","","2"
"100","R63, R64, R69, R70","4","RES_0402","33R 0402 1%","RES_0402_202305","","","","","","","","2"
"101","R65, R66, R67, R68, R71, R72, R81, R84, R85, R96, R97, R110, R112, R113, R151, R152, R153, R154, R160","19","RES_0402","10K 0402 1%","RES_0402_202305","","","","","","","","2"
"102","R73","1","RES_0402","12K1 0402 1%","RES_0402_202305","","","","","","","","2"
"103","R74","1","RES_0402","2K7 0402 1%","RES_0402_202305","","","","","","","","2"
