"RefDes","Manufacturer","Mpn","Place","PcbSide","X","Y","Rotation"
"J408","HCTL","PM127-2-11-S-4.3","true","Top","36.2","26.6","90"
"J409","XKB Connection","X0408WVS-100A-LPV01","true","Bottom","32.5","14.5","0"
"J410","HCTL","PZ127-2-02-S","true","Top","103.25","41.55","180"
"J411","XKB Connection","X0408WVS-100A-LPV01","true","Bottom","82.5","14.5","0"
"J601","SHOU HAN","TYPE-C 16PLT-H10.0","true","Top","50.75","13.5","180"
"J602","SHOU HAN","TYPE-C 16PLT-H10.0","true","Top","64.25","13.5","180"
"L1","muRata","DFE252012F-1R0M=P2","true","Top","17.6","29.5","90"
"L2","muRata","DFE252012F-1R0M=P2","true","Top","17.6","21.2","90"
"L3","muRata","DFE252012F-1R0M=P2","true","Top","17.6","12.9","90"
"L101","Taiyo Yuden","MCHK1608T2R2MKN","true","Top","51.1","51.225","-90"
"R1","UNI-ROYAL(Uniroyal Elec)","HP06W2J0000T5E","true","Bottom","46.5","13.5","-90"
"R2","UNI-ROYAL(Uniroyal Elec)","0402WGF2200TCE","true","Top","21.1","16.7","90"
"R3","UNI-ROYAL(Uniroyal Elec)","0402WGF2200TCE","true","Top","21.15","12.95","90"
"R4","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","48.475","26.425","-90"
"R5","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","48.475","28.225","90"
"R6","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.6","32.45","0"
"R7","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","14.6","33.45","0"
"R8","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","12.6","32.45","180"
"R9","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.6","24.15","0"
"R10","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.6","25.15","0"
"R11","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","12.6","24.15","180"
"R12","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.6","15.85","0"
"R13","UNI-ROYAL(Uniroyal Elec)","0402WGF4533TCE","true","Top","14.6","16.85","0"
"R14","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","12.6","15.85","180"
"R101","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","51.1","48.55","90.01"
"R102","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","true","Bottom","50.35","53.175","0"
"R103","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","true","Top","65.525","53.575","90"
"R104","UNI-ROYAL(Uniroyal Elec)","0402WGF470JTCE","true","Bottom","53.275","48.375","-90"
"R105","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","74.9","32.55","180"
"R106","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","74.9","33.45","180"
"R107","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","75.2","29.05","90.01"
"R108","UNI-ROYAL(Uniroyal Elec)","0603WAF1000T5E","true","Bottom","66.8","31.3","-90"
"R109","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","63.9","35.5","90"
"R110","UNI-ROYAL(Uniroyal Elec)","0603WAF1000T5E","true","Bottom","45.4","28.3","0.01"
"R111","UNI-ROYAL(Uniroyal Elec)","0603WAF1000T5E","true","Bottom","45.4","33.1","0.01"
"R112","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","60.7","36.75","0"
"R113","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.5","26.25","0"
"R114","UNI-ROYAL(Uniroyal Elec)","0603WAF100KT5E","true","Bottom","45.4","30","-179.99"
"R115","UNI-ROYAL(Uniroyal Elec)","0603WAF100KT5E","true","Bottom","66.8","28","-90"
"R116","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.5","28.75","0"
"R117","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.5","27.75","0"
"R118","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","71.9","37.2","-90"
"R119","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","71.3","35.25","-90"
"R120","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","72.5","35.25","-90"
"R121","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.5","34.25","0"
"R122","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","72.05","29.05","90"
"R123","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","73.1","37.2","-90"
"R124","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Bottom","70.7","37.2","-90"
"R125","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","75.25","23.325","-90"
